ward_code,celebration_event,hidden_stories,my_leeds_2023,partner,roadshow,schools_engagement,signature,the_barn,ward_hosts,total,ward_name
E05012841,0,0,3,0,1,14,5,0,1,24,Adel and Wharfedale
E05012842,0,0,5,0,1,9,5,0,1,21,Alwoodley
E05011384,0,0,1,0,1,4,2,0,1,9,Ardsley and Robin Hood
E05011385,2,0,5,1,1,15,6,0,1,31,Armley
E05012647,0,1,2,11,1,23,4,0,1,43,Beeston and Holbeck
E05011387,1,0,3,0,1,16,3,0,1,25,Bramley and Stanningley
E05011388,2,0,3,2,1,19,12,0,1,40,Burmantofts and Richmond Hill
E05011389,1,1,5,2,1,4,5,0,1,20,Calverley and Farsley
E05011390,3,1,1,4,1,19,3,0,1,33,Chapel Allerton
E05011391,0,0,2,0,1,14,4,0,1,22,Cross Gates and Whinmoor
E05012648,0,0,2,0,1,13,5,0,1,22,Farnley and Wortley
E05013830,1,0,4,0,1,6,8,0,1,21,Garforth and Swillington
E05011394,1,2,3,2,1,6,8,0,1,24,Gipton and Harehills
E05011395,1,0,2,0,1,10,3,0,1,18,Guiseley and Rawdon
E05011396,0,1,3,3,1,4,3,0,1,16,Harewood
E05011397,0,0,6,10,1,8,31,13,1,70,Headingley and Hyde Park
E05011547,0,0,1,2,1,14,4,0,1,23,Horsforth
E05011399,2,2,9,9,1,7,46,1,1,78,Hunslet and Riverside
E05011400,1,0,2,0,1,10,8,0,1,23,Killingbeck and Seacroft
E05011401,0,0,1,0,1,2,1,0,1,6,Kippax and Methley
E05011402,1,0,3,1,2,4,3,0,1,15,Kirkstall
E05011403,3,1,1,78,0,19,79,0,1,182,Little London and Woodhouse
E05011404,0,0,3,0,1,22,6,0,1,33,Middleton Park
E05011405,0,0,4,0,1,30,6,0,1,42,Moortown
E05011406,0,0,3,0,1,8,9,0,1,22,Morley North
E05011407,0,0,2,0,1,10,2,0,1,16,Morley South
E05011549,0,1,3,0,1,10,3,0,1,19,Otley and Yeadon
E05011409,0,0,2,0,1,10,2,0,1,16,Pudsey
E05011410,0,0,2,0,1,9,7,0,1,20,Rothwell
E05011411,0,0,5,0,1,14,6,0,1,27,Roundhay
E05013831,0,0,2,0,1,14,2,0,1,20,Temple Newsam
E05011413,1,0,5,2,2,19,6,0,1,36,Weetwood
E05011414,0,0,3,0,1,7,3,0,1,15,Wetherby
