ward_code,celebration_event,hidden_stories,my_leeds_2023,partner,roadshow,signature,the_barn,ward_hosts,ward_name,total
E05012841,0,0,1,0,1,1,0,1,Adel and Wharfedale,4
E05012842,0,0,1,0,1,1,0,1,Alwoodley,4
E05011384,0,0,1,0,1,1,0,1,Ardsley and Robin Hood,4
E05011385,2,0,1,0,1,1,0,1,Armley,6
E05012647,0,1,3,9,1,3,0,1,Beeston and Holbeck,18
E05011387,1,0,1,0,1,1,0,1,Bramley and Stanningley,5
E05011388,2,0,1,1,1,1,0,1,Burmantofts and Richmond Hill,7
E05011389,1,1,1,2,1,1,0,1,Calverley and Farsley,8
E05011390,3,1,1,2,1,1,0,1,Chapel Allerton,10
E05011391,0,0,1,0,1,1,0,1,Cross Gates and Whinmoor,4
E05012648,0,0,1,0,1,1,0,1,Farnley and Wortley,4
E05013830,1,0,1,0,1,1,0,1,Garforth and Swillington,5
E05011394,1,2,1,2,1,5,0,1,Gipton and Harehills,13
E05011395,1,0,1,0,1,1,0,1,Guiseley and Rawdon,5
E05011396,0,1,1,2,1,1,0,1,Harewood,7
E05011397,0,0,1,7,1,15,13,1,Headingley and Hyde Park,38
E05011547,0,0,1,2,1,1,0,1,Horsforth,6
E05011399,2,2,2,4,1,9,1,1,Hunslet and Riverside,22
E05011400,1,0,1,0,1,2,0,1,Killingbeck and Seacroft,6
E05011401,0,0,1,0,1,1,0,1,Kippax and Methley,4
E05011402,1,0,1,0,2,1,0,1,Kirkstall,6
E05011403,3,1,1,57,0,43,0,1,Little London and Woodhouse,106
E05011404,0,0,1,0,1,1,0,1,Middleton Park,4
E05011405,0,0,1,0,1,1,0,1,Moortown,4
E05011406,0,0,1,0,1,1,0,1,Morley North,4
E05011407,0,0,1,0,1,1,0,1,Morley South,4
E05011549,0,1,3,0,1,3,0,1,Otley and Yeadon,9
E05011409,0,0,2,0,1,2,0,1,Pudsey,6
E05011410,0,0,1,0,1,1,0,1,Rothwell,4
E05011411,0,0,3,0,1,4,0,1,Roundhay,9
E05013831,0,0,2,0,1,2,0,1,Temple Newsam,6
E05011413,1,0,3,2,2,3,0,1,Weetwood,12
E05011414,0,0,3,0,1,3,0,1,Wetherby,8
