ward_code,my_leeds_grant_app,my_leeds_schools_grants_application,total_responses
E05011384,13,0,13
E05011385,15,0,15
E05011387,21,0,21
E05011388,20,0,20
E05011389,22,0,22
E05011390,10,0,10
E05011391,11,0,11
E05011394,22,0,22
E05011395,23,0,23
E05011396,13,0,13
E05011397,25,0,25
E05011399,11,0,11
E05011400,13,2,15
E05011401,14,0,14
E05011402,6,1,7
E05011403,21,0,21
E05011404,12,0,12
E05011405,12,0,12
E05011406,17,0,17
E05011407,15,0,15
E05011409,18,0,18
E05011410,7,0,7
E05011411,16,0,16
E05011413,24,1,25
E05011414,9,0,9
E05011547,14,1,15
E05011549,11,1,12
E05012647,14,0,14
E05012648,9,0,9
E05012841,26,3,29
E05012842,19,1,20
E05013830,11,0,11
E05013831,11,0,11
UNKNOWN,1,0,1
