ward_code,my_leeds_grant_app,my_leeds_schools_grants_application,total_responses
E05001341,1,0,1
E05001353,1,0,1
E05001355,1,0,1
E05001356,1,0,1
E05001363,3,0,3
E05001391,1,0,1
E05001392,7,0,7
E05001398,3,0,3
E05001402,1,0,1
E05001408,1,0,1
E05001446,2,0,2
E05001455,1,0,1
E05001458,4,0,4
E05001462,1,0,1
E05009313,1,0,1
E05010319,1,0,1
E05010741,1,0,1
E05010774,1,0,1
E05010776,1,0,1
E05011384,14,0,14
E05011385,6,0,6
E05011387,16,0,16
E05011388,16,0,16
E05011389,20,0,20
E05011390,17,0,17
E05011391,9,0,9
E05011394,13,0,13
E05011395,29,0,29
E05011396,15,0,15
E05011397,16,0,16
E05011399,42,0,42
E05011400,15,0,15
E05011401,5,0,5
E05011402,12,0,12
E05011403,10,0,10
E05011404,10,0,10
E05011405,18,0,18
E05011406,13,0,13
E05011407,10,0,10
E05011409,11,0,11
E05011411,14,0,14
E05011413,22,0,22
E05011414,7,0,7
E05011547,8,0,8
E05011549,6,0,6
E05012389,1,0,1
E05012647,1,0,1
E05012648,8,0,8
E05012841,15,0,15
E05012842,14,0,14
E05013830,4,0,4
E05013831,6,0,6
UNKNOWN,22,5,27
