day,page_views,total_users,cumulative_page_views
2022-12-02,5282.0,2492.0,5282.0
2022-12-09,11446.0,5839.0,16728.0
2022-12-16,14466.0,7330.0,31194.0
2022-12-23,7993.0,3900.0,39187.0
2022-12-30,10201.0,5087.0,49388.0
2023-01-06,44752.0,18803.0,94140.0
2023-01-13,69412.0,24296.0,163552.0
2023-01-20,18882.0,7473.0,182434.0
2023-01-27,15833.0,6887.0,198267.0
2023-02-03,14550.0,6105.0,212817.0
2023-02-10,18052.0,8047.0,230869.0
2023-02-17,14077.0,5967.0,244946.0
2023-02-24,15240.0,6743.0,260186.0
2023-03-03,16436.0,6740.0,276622.0
2023-03-10,15591.0,7050.0,292213.0
2023-03-17,13655.0,5651.0,305868.0
2023-03-24,13642.0,5952.0,319510.0
2023-03-31,18950.0,6594.0,338460.0
2023-04-07,20997.0,7433.0,359457.0
2023-04-14,19649.0,6743.0,379106.0
2023-04-21,24032.0,9282.0,403138.0
2023-04-28,29333.0,11059.0,432471.0
2023-05-05,37689.0,14492.0,470160.0
2023-05-12,43374.0,17090.0,513534.0
2023-05-19,26240.0,11434.0,539774.0
2023-05-26,20906.0,10111.0,560680.0
2023-06-02,22039.0,11169.0,582719.0
2023-06-09,17730.0,7834.0,600449.0
2023-06-16,21053.0,9961.0,621502.0
2023-06-23,25023.0,12024.0,646525.0
2023-06-30,21153.0,9993.0,667678.0
2023-07-07,21784.0,9891.0,689462.0
2023-07-14,22496.0,10686.0,711958.0
2023-07-21,16477.0,6716.0,728435.0
2023-07-28,16621.0,7384.0,745056.0
2023-08-04,24176.0,10127.0,769232.0
2023-08-11,22144.0,10120.0,791376.0
2023-08-18,23904.0,12131.0,815280.0
2023-08-25,28911.0,16422.0,844191.0
2023-09-01,40216.0,25525.0,884407.0
2023-09-08,29895.0,14842.0,914302.0
2023-09-15,19418.0,8975.0,933720.0
2023-09-22,17248.0,7707.0,950968.0
2023-09-29,20941.0,9002.0,971909.0
2023-10-06,20120.0,9319.0,992029.0
