week_ending,events,audience,cumulative_events,cumulative_audience
2023-04-07,1,15,1,15
2023-04-14,0,0,1,15
2023-04-21,0,0,1,15
2023-04-28,0,0,1,15
2023-05-05,1,47,2,62
2023-05-12,0,0,2,62
2023-05-19,0,0,2,62
2023-05-26,0,0,2,62
2023-06-02,1,20,3,82
2023-06-09,0,0,3,82
2023-06-16,1,50,4,132
2023-06-23,0,0,4,132
2023-06-30,0,0,4,132
2023-07-07,1,11,5,143
2023-07-14,1,7,6,150
2023-07-21,0,0,6,150
2023-07-28,3,56,9,206
2023-08-04,0,0,9,206
2023-08-11,1,86,10,292
2023-08-18,2,98,12,390
2023-08-25,1,86,13,476
2023-09-01,3,96,16,572
2023-09-08,2,1485,18,2057
