date,audience,net_audience_growth,audience_gained,sent_messages_total,published_posts_total,received_messages_total,impressions,video_views,engagements,engagement_rate_per_impression,reactions,comments,shares,post_link_clicks,sent_posts_linkedin,received_comments_linkedin,sent_comments_linkedin
2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2021-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-05,0,1,1,0,0,0,13,0,1,7.69,0,0,0,1,0,0,0
2021-01-06,0,1,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0
2021-01-07,0,3,3,0,0,0,50,0,2,4,0,0,0,2,0,0,0
2021-01-08,0,1,1,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2021-01-09,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
2021-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-11,0,1,1,0,0,0,17,0,2,11.76,0,0,0,2,0,0,0
2021-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-13,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
2021-01-14,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-15,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2021-01-16,0,1,1,0,0,0,3,0,1,33.33,0,0,0,1,0,0,0
2021-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-19,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2021-01-21,0,1,1,0,0,0,8,0,1,12.5,0,0,0,1,0,0,0
2021-01-22,0,0,0,0,0,0,24,0,3,12.5,0,0,0,3,0,0,0
2021-01-23,0,0,0,0,0,0,9,0,2,22.22,0,0,0,2,0,0,0
2021-01-24,0,2,2,0,0,0,31,0,1,3.23,0,0,0,1,0,0,0
2021-01-25,0,8,8,0,0,0,24,0,2,8.33,0,0,0,2,0,0,0
2021-01-26,0,2,2,0,0,0,20,0,0,0,0,0,0,0,0,0,0
2021-01-27,0,4,4,0,0,0,16,0,1,6.25,0,0,0,1,0,0,0
2021-01-28,0,2,2,0,0,0,28,0,0,0,0,0,0,0,0,0,0
2021-01-29,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0
2021-01-30,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2021-01-31,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
2021-02-01,0,2,2,0,0,0,5,0,2,40,0,0,1,1,0,0,0
2021-02-02,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0
2021-02-03,0,1,1,0,0,0,4,0,1,25,0,0,0,1,0,0,0
2021-02-04,0,1,1,0,0,0,13,0,2,15.38,0,0,0,2,0,0,0
2021-02-05,0,2,2,0,0,0,20,0,1,5,0,0,0,1,0,0,0
2021-02-06,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2021-02-07,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2021-02-08,0,5,5,0,0,0,12,0,1,8.33,0,0,0,1,0,0,0
2021-02-09,0,0,0,0,0,0,76,0,12,15.79,2,0,1,9,0,0,0
2021-02-10,0,2,2,0,0,0,43,0,7,16.28,1,0,0,6,0,0,0
2021-02-11,0,0,0,0,0,0,22,0,4,18.18,0,0,0,4,0,0,0
2021-02-12,0,4,4,0,0,0,12,0,1,8.33,0,0,0,1,0,0,0
2021-02-13,0,2,2,0,0,0,7,0,2,28.57,0,0,0,2,0,0,0
2021-02-14,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2021-02-15,0,4,4,0,0,0,18,0,2,11.11,0,0,0,2,0,0,0
2021-02-16,0,2,2,0,0,0,8,0,6,75,0,0,0,6,0,0,0
2021-02-17,0,7,7,0,0,0,9,0,3,33.33,0,0,0,3,0,0,0
2021-02-18,0,2,2,0,0,0,2,0,3,150,0,0,0,3,0,0,0
2021-02-19,0,1,1,0,0,0,12,0,1,8.33,0,0,0,1,0,0,0
2021-02-20,0,0,0,0,0,0,6,0,1,16.67,0,0,0,1,0,0,0
2021-02-21,0,0,0,0,0,0,17,0,3,17.65,0,0,0,3,0,0,0
2021-02-22,0,4,4,0,0,0,17,0,4,23.53,0,0,0,4,0,0,0
2021-02-23,0,1,1,0,0,0,1,0,1,100,0,0,0,1,0,0,0
2021-02-24,0,4,4,0,0,0,261,0,31,11.88,3,0,1,27,0,0,0
2021-02-25,0,3,3,0,0,0,39,0,4,10.26,0,0,0,4,0,0,0
2021-02-26,0,1,1,0,0,0,13,0,2,15.38,0,0,0,2,0,0,0
2021-02-27,0,0,0,0,0,0,39,0,3,7.69,1,0,0,2,0,0,0
2021-02-28,0,1,1,0,0,0,20,0,2,10,0,0,0,2,0,0,0
2021-03-01,0,3,3,0,0,0,28,0,3,10.71,0,0,0,3,0,0,0
2021-03-02,0,1,1,0,0,0,19,0,7,36.84,1,0,0,6,0,0,0
2021-03-03,0,1,1,0,0,0,14,0,1,7.14,0,0,0,1,0,0,0
2021-03-04,0,0,0,0,0,0,20,0,1,5,0,0,0,1,0,0,0
2021-03-05,0,3,3,0,0,0,12,0,2,16.67,0,0,0,2,0,0,0
2021-03-06,0,0,0,0,0,0,3,0,6,200,0,0,1,5,0,0,0
2021-03-07,0,2,2,0,0,0,13,0,1,7.69,0,0,1,0,0,0,0
2021-03-08,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2021-03-09,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2021-03-10,0,0,0,0,0,0,9,0,2,22.22,0,0,0,2,0,0,0
2021-03-11,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2021-03-12,0,1,1,0,0,0,11,0,1,9.09,0,0,0,1,0,0,0
2021-03-13,0,-1,0,0,0,0,6,0,1,16.67,0,0,0,1,0,0,0
2021-03-14,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2021-03-15,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0
2021-03-16,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2021-03-17,0,0,0,0,0,0,11,0,1,9.09,0,0,0,1,0,0,0
2021-03-18,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2021-03-19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-20,0,4,4,0,0,0,16,0,2,12.5,0,0,0,2,0,0,0
2021-03-21,0,5,5,0,0,0,15,0,3,20,0,0,0,3,0,0,0
2021-03-22,0,1,1,0,0,0,5,0,1,20,0,0,0,1,0,0,0
2021-03-23,0,1,1,0,0,0,10,0,1,10,1,0,0,0,0,0,0
2021-03-24,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2021-03-25,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2021-03-26,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2021-03-27,0,0,0,0,0,0,5,0,2,40,0,0,0,2,0,0,0
2021-03-28,0,0,0,0,0,0,5,0,1,20,0,0,0,1,0,0,0
2021-03-29,0,1,1,0,0,0,11,0,3,27.27,0,0,0,3,0,0,0
2021-03-30,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
2021-03-31,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2021-04-01,0,0,0,0,0,0,153,0,20,13.07,5,0,1,14,0,0,0
2021-04-02,0,1,1,0,0,0,70,0,14,20,1,0,6,7,0,0,0
2021-04-03,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
2021-04-04,0,0,0,0,0,0,40,0,5,12.5,0,0,0,5,0,0,0
2021-04-05,0,-1,0,0,0,0,16,0,5,31.25,0,0,3,2,0,0,0
2021-04-06,0,0,0,0,0,0,20,0,6,30,1,0,0,5,0,0,0
2021-04-07,0,-1,0,0,0,0,244,0,23,9.43,3,0,0,20,0,0,0
2021-04-08,0,0,0,0,0,0,172,0,29,16.86,5,0,4,20,0,0,0
2021-04-09,0,2,2,0,0,0,71,0,6,8.45,1,0,1,4,0,0,0
2021-04-10,0,2,2,0,0,0,55,0,12,21.82,1,0,1,10,0,0,0
2021-04-11,0,4,4,0,0,0,35,0,5,14.29,1,0,0,4,0,0,0
2021-04-12,0,3,3,0,0,0,57,0,7,12.28,0,0,0,7,0,0,0
2021-04-13,0,5,5,0,0,0,38,0,8,21.05,0,0,1,7,0,0,0
2021-04-14,0,3,3,0,0,0,22,0,4,18.18,0,0,2,2,0,0,0
2021-04-15,0,3,3,0,0,0,16,0,4,25,0,0,0,4,0,0,0
2021-04-16,0,2,2,0,0,0,7,0,1,14.29,1,0,0,0,0,0,0
2021-04-17,0,1,1,0,0,0,15,0,1,6.67,0,0,0,1,0,0,0
2021-04-18,0,1,1,0,0,0,27,0,4,14.81,3,0,0,1,0,0,0
2021-04-19,0,0,0,0,0,0,23,0,1,4.35,0,0,0,1,0,0,0
2021-04-20,0,2,2,0,0,0,20,0,5,25,1,0,0,4,0,0,0
2021-04-21,0,1,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2021-04-22,0,5,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2021-04-23,0,1,1,0,0,0,39,0,5,12.82,0,0,1,4,0,0,0
2021-04-24,0,2,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0
2021-04-25,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
2021-04-26,0,4,4,0,0,0,31,0,3,9.68,0,0,0,3,0,0,0
2021-04-27,0,2,2,0,0,0,32,0,3,9.38,0,0,0,3,0,0,0
2021-04-28,0,1,1,0,0,0,30,0,6,20,1,0,0,5,0,0,0
2021-04-29,0,0,0,0,0,0,22,0,5,22.73,1,0,1,3,0,0,0
2021-04-30,0,2,2,0,0,0,147,0,13,8.84,2,0,2,9,0,0,0
2021-05-01,0,4,4,0,0,0,35,0,2,5.71,0,0,0,2,0,0,0
2021-05-02,0,0,0,0,0,0,32,0,2,6.25,0,0,1,1,0,0,0
2021-05-03,0,3,3,0,0,0,25,0,1,4,0,0,0,1,0,0,0
2021-05-04,0,1,1,0,0,0,45,0,1,2.22,0,0,0,1,0,0,0
2021-05-05,0,1,1,0,0,0,321,0,57,17.76,13,1,11,32,0,0,0
2021-05-06,0,4,4,0,0,0,60,0,4,6.67,0,0,0,4,0,0,0
2021-05-07,0,3,3,0,0,0,75,0,12,16,1,0,0,11,0,0,0
2021-05-08,0,2,2,0,0,0,44,0,6,13.64,3,0,0,3,0,0,0
2021-05-09,0,1,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0
2021-05-10,0,2,2,0,0,0,70,0,1,1.43,0,0,0,1,0,0,0
2021-05-11,0,2,2,0,0,0,33,0,2,6.06,0,0,1,1,0,0,0
2021-05-12,0,1,1,0,0,0,38,0,3,7.89,0,0,0,3,0,0,0
2021-05-13,0,2,2,0,0,0,30,0,1,3.33,0,0,0,1,0,0,0
2021-05-14,0,1,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0
2021-05-15,0,1,1,0,0,0,10,0,1,10,1,0,0,0,0,0,0
2021-05-16,0,1,1,0,0,0,23,0,4,17.39,1,0,0,3,0,0,0
2021-05-17,0,0,0,0,0,0,219,0,33,15.07,11,0,3,19,0,0,0
2021-05-18,0,3,3,0,0,0,169,0,21,12.43,2,0,0,19,0,0,0
2021-05-19,0,2,2,0,0,0,77,0,13,16.88,3,0,1,9,0,0,0
2021-05-20,0,4,4,0,0,0,57,0,9,15.79,2,0,1,6,0,0,0
2021-05-21,0,1,1,0,0,0,40,0,4,10,0,0,1,3,0,0,0
2021-05-22,0,1,1,0,0,0,40,0,3,7.5,0,0,1,2,0,0,0
2021-05-23,0,0,0,0,0,0,15,0,2,13.33,0,0,1,1,0,0,0
2021-05-24,0,1,1,0,0,0,42,0,6,14.29,0,0,1,5,0,0,0
2021-05-25,0,14,14,0,0,0,392,180,41,10.46,19,0,4,18,0,0,0
2021-05-26,0,7,7,0,0,0,405,233,35,8.64,18,0,3,14,0,0,0
2021-05-27,0,2,2,0,0,0,123,62,10,8.13,4,1,1,4,0,0,0
2021-05-28,0,7,7,0,0,0,198,52,16,8.08,4,0,1,11,0,0,0
2021-05-29,0,1,1,0,0,0,119,29,14,11.76,6,0,1,7,0,0,0
2021-05-30,0,2,2,0,0,0,91,0,10,10.99,3,0,0,7,0,0,0
2021-05-31,0,2,2,0,0,0,75,0,2,2.67,1,0,0,1,0,0,0
2021-06-01,0,5,5,0,0,0,113,19,16,14.16,7,0,1,8,0,0,0
2021-06-02,0,1,1,0,0,0,214,21,15,7.01,4,0,0,11,0,0,0
2021-06-03,0,3,3,0,0,0,118,18,6,5.08,2,0,0,4,0,0,0
2021-06-04,0,1,1,0,0,0,80,0,2,2.5,1,0,0,1,0,0,0
2021-06-05,0,1,1,0,0,0,66,0,3,4.55,2,0,0,1,0,0,0
2021-06-06,0,1,1,0,0,0,43,0,1,2.33,1,0,0,0,0,0,0
2021-06-07,0,2,2,0,0,0,59,12,4,6.78,3,0,0,1,0,0,0
2021-06-08,0,0,0,0,0,0,39,13,2,5.13,1,0,0,1,0,0,0
2021-06-09,810,2,2,0,0,0,26,0,1,3.85,1,0,0,0,0,0,0
2021-06-10,812,2,2,0,0,0,66,5,9,13.64,2,0,1,6,0,0,0
2021-06-11,815,2,2,0,0,0,394,0,38,9.64,6,0,4,28,0,0,0
2021-06-12,816,1,1,0,0,0,180,0,18,10,1,0,0,17,0,0,0
2021-06-13,817,4,4,0,0,0,196,0,24,12.24,7,0,3,14,0,0,0
2021-06-14,821,1,1,0,0,0,284,0,26,9.15,3,0,3,20,0,0,0
2021-06-15,822,4,4,0,0,0,409,0,32,7.82,14,0,0,18,0,0,0
2021-06-16,827,4,4,0,0,0,351,0,32,9.12,2,0,3,27,0,0,0
2021-06-17,830,5,5,0,0,0,206,0,25,12.14,5,0,1,19,0,0,0
2021-06-18,836,4,4,0,0,0,104,0,8,7.69,1,0,0,7,0,0,0
2021-06-19,839,0,0,0,0,0,63,0,5,7.94,2,0,1,2,0,0,0
2021-06-20,839,2,2,0,0,0,87,0,6,6.9,0,0,1,5,0,0,0
2021-06-21,842,1,1,0,0,0,127,0,14,11.02,2,0,0,12,0,0,0
2021-06-22,844,2,2,0,0,0,55,0,5,9.09,1,0,0,4,0,0,0
2021-06-23,844,3,3,0,0,0,94,11,8,8.51,1,0,0,7,0,0,0
2021-06-24,847,1,1,0,0,0,52,0,7,13.46,2,0,1,4,0,0,0
2021-06-25,848,1,1,0,0,0,87,0,10,11.49,2,1,0,7,0,0,0
2021-06-26,849,0,0,0,0,0,29,0,1,3.45,0,0,0,1,0,0,0
2021-06-27,849,0,0,0,0,0,95,0,8,8.42,1,0,0,7,0,0,0
2021-06-28,850,1,1,0,0,0,175,0,8,4.57,1,0,1,6,0,0,0
2021-06-29,850,2,2,0,0,0,58,0,4,6.9,1,0,1,2,0,0,0
2021-06-30,852,1,1,0,0,0,112,0,9,8.04,1,0,1,7,0,0,0
2021-07-01,853,2,2,0,0,0,72,0,9,12.5,4,0,1,4,0,0,0
2021-07-02,855,0,0,0,0,0,63,0,5,7.94,1,0,0,4,0,0,0
2021-07-03,855,1,1,0,0,0,38,0,3,7.89,1,0,0,2,0,0,0
2021-07-04,856,0,0,0,0,0,45,0,4,8.89,0,0,0,4,0,0,0
2021-07-05,856,1,1,0,0,0,48,0,6,12.5,0,0,0,6,0,0,0
2021-07-06,857,1,1,0,0,0,56,0,3,5.36,0,0,0,3,0,0,0
2021-07-07,859,2,2,0,0,0,32,0,1,3.13,0,0,0,1,0,0,0
2021-07-08,860,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2021-07-09,860,0,0,0,0,0,30,0,4,13.33,0,0,0,4,0,0,0
2021-07-10,0,0,0,0,0,0,26,0,3,11.54,1,0,0,2,0,0,0
2021-07-11,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
2021-07-12,0,0,0,0,0,0,19,0,2,10.53,0,0,0,2,0,0,0
2021-07-13,0,1,1,0,0,0,21,0,0,0,0,0,0,0,0,0,0
2021-07-14,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
2021-07-15,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
2021-07-16,0,1,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0
2021-07-17,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
2021-07-18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2021-07-19,0,1,1,0,0,0,12,0,3,25,0,0,0,3,0,0,0
2021-07-20,0,1,1,0,0,0,143,0,15,10.49,6,0,2,7,0,0,0
2021-07-21,0,3,3,0,0,0,82,0,11,13.41,2,0,1,8,0,0,0
2021-07-22,0,1,1,0,0,0,31,0,2,6.45,1,0,0,1,0,0,0
2021-07-23,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
2021-07-24,0,1,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0
2021-07-25,0,0,0,0,0,0,16,0,1,6.25,0,0,0,1,0,0,0
2021-07-26,0,0,0,0,0,0,32,0,4,12.5,2,0,0,2,0,0,0
2021-07-27,0,2,2,0,0,0,110,0,6,5.45,1,0,0,5,0,0,0
2021-07-28,0,2,2,0,0,0,55,0,4,7.27,0,0,0,4,0,0,0
2021-07-29,0,1,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2021-07-30,0,1,1,0,0,0,15,0,1,6.67,0,0,0,1,0,0,0
2021-07-31,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
2021-08-01,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2021-08-02,0,1,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0
2021-08-03,0,1,1,0,0,0,4,0,1,25,0,0,0,1,0,0,0
2021-08-04,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2021-08-05,0,0,0,0,0,0,20,0,1,5,0,0,0,1,0,0,0
2021-08-06,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2021-08-07,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
2021-08-08,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2021-08-09,0,2,2,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2021-08-10,0,1,1,0,0,0,6,0,1,16.67,0,0,0,1,0,0,0
2021-08-11,0,2,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0
2021-08-12,0,2,2,0,0,0,52,0,2,3.85,2,0,0,0,0,0,0
2021-08-13,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
