week_ending,events,audience,cumulative_events,cumulative_audience
2023-02-17,7,0,7,0
2023-02-24,4,0,11,0
2023-03-03,0,0,11,0
2023-03-10,0,0,11,0
2023-03-17,0,0,11,0
2023-03-24,0,0,11,0
2023-03-31,0,0,11,0
2023-04-07,0,0,11,0
2023-04-14,0,0,11,0
2023-04-21,0,0,11,0
2023-04-28,0,0,11,0
2023-05-05,0,0,11,0
2023-05-12,0,0,11,0
2023-05-19,0,0,11,0
2023-05-26,0,0,11,0
2023-06-02,0,0,11,0
2023-06-09,0,0,11,0
2023-06-16,1,600,12,600
2023-06-23,4,3000,16,3600
2023-06-30,3,4000,19,7600
2023-07-07,6,6554,25,14154
2023-07-14,5,1418,30,15572
2023-07-21,1,3000,31,18572
2023-07-28,6,1426,37,19998
2023-08-04,1,500,38,20498
2023-08-11,4,1275,42,21773
2023-08-18,3,950,45,22723
2023-08-25,2,2700,47,25423
2023-09-01,3,2300,50,27723
2023-09-08,0,0,50,27723
2023-09-15,1,660,51,28383
2023-09-22,1,0,52,28383
