month,International,Local,National,Regional,Unknown,Total
2021-01,0,0,2,1,0,3
2021-02,0,0,1,1,0,2
2021-03,0,21,1,0,0,22
2021-04,0,10,0,0,0,10
2021-05,0,19,2,6,1,28
2021-06,2,10,1,1,2,16
2021-07,0,18,1,1,0,20
2021-08,0,36,1,4,0,41
2021-09,0,36,0,0,0,36
2021-10,0,45,0,5,0,50
2021-11,0,44,4,4,0,52
2021-12,0,9,0,0,0,9
2022-01,0,22,3,11,0,36
2022-02,0,19,3,5,0,27
2022-03,0,12,1,0,0,13
2022-04,0,15,2,2,0,19
2022-05,0,11,2,2,0,15
2022-06,4,27,11,7,0,49
2022-07,1,14,1,11,0,27
2022-08,1,9,0,6,0,16
2022-09,10,36,23,157,10,236
2022-10,1,1,0,9,17,28
2022-11,10,3,2,3,19,37
2022-12,29,9,12,8,16,74
2023-01,54,10,70,45,541,720
2023-02,2,19,0,11,96,128
2023-03,13,2,4,14,100,133
2023-04,0,0,0,0,92,92
2023-05,0,0,0,0,157,157
2023-06,0,0,0,0,136,136
2023-07,0,0,0,0,112,112
2023-08,0,0,0,0,65,65
2023-09,0,0,0,0,344,344
2023-10,0,0,0,0,131,131
2023-11,0,0,0,0,114,114
2023-12,0,0,0,0,120,120
2024-01,0,0,0,0,33,33
