ward_code,responses
E05000889,1
E05001298,1
E05001352,1
E05001355,2
E05001373,1
E05001409,1
E05001463,1
E05008561,1
E05011333,1
E05011384,1
E05011385,7
E05011387,6
E05011388,4
E05011389,3
E05011390,6
E05011391,1
E05011394,2
E05011395,1
E05011396,1
E05011397,19
E05011399,4
E05011400,4
E05011401,1
E05011402,3
E05011403,26
E05011404,5
E05011405,3
E05011406,1
E05011407,2
E05011409,5
E05011410,2
E05011411,5
E05011413,6
E05011414,1
E05011547,1
E05011549,1
E05012647,3
E05012648,5
E05012841,2
E05012842,4
E05013831,4
UNKNOWN,25
